title,genres
The Dark Knight,Action|Crime|Drama
Inception,Action|Sci-Fi|Thriller
Interstellar,Adventure|Drama|Sci-Fi
The Matrix,Action|Sci-Fi
Avengers: Endgame,Action|Adventure|Sci-Fi
Iron Man,Action|Adventure|Sci-Fi
Guardians of the Galaxy,Action|Adventure|Comedy|Sci-Fi
Jurassic Park,Adventure|Sci-Fi|Thriller
Titanic,Drama|Romance
The Notebook,Drama|Romance
La La Land,Comedy|Drama|Romance
Forrest Gump,Comedy|Drama|Romance
The Hangover,Comedy
Superbad,Comedy
Toy Story,Animation|Adventure|Comedy
Finding Nemo,Animation|Adventure|Comedy
The Lion King,Animation|Adventure|Drama
Frozen,Animation|Adventure|Comedy
The Conjuring,Horror|Mystery|Thriller
A Quiet Place,Drama|Horror|Sci-Fi
Get Out,Horror|Mystery|Thriller
It,Horror|Drama|Thriller
Sherlock Holmes,Action|Adventure|Mystery
Knives Out,Comedy|Crime|Mystery
The Godfather,Crime|Drama
Goodfellas,Crime|Drama
The Shawshank Redemption,Drama
The Pursuit of Happyness,Drama
Top Gun: Maverick,Action|Drama
Spider-Man: No Way Home,Action|Adventure|Sci-Fi
